strain,strategy,flip_size,seed,gene_idx,gene_name,category,orig_presence,new_presence,logit_prob_var1,logit_prob_var10,logit_prob_var100,suspect_var1,suspect_var10,suspect_var100,z_score_var1,z_score_var10,z_score_var100,consistent_across_variations,only_suspect_at_100,suspect_at_all
10465,core_targeted,20,7,1161,FEOBHI_07585 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,core,1,0,11.511559,10.754978,8.20297,False,False,False,0.4420038453366395,0.69249384921174,0.7578910930440587,True,False,False
10465,core_targeted,20,7,1407,FEOBHI_01070 N-acetylmuramic acid 6-phosphate etherase,core,1,0,9.441016,7.006629,4.458003,False,False,False,0.10897731970880165,-0.033697964247709856,-0.18812917711010146,True,False,False
10465,core_targeted,20,7,1934,FEOBHI_04620 ribosome biogenesis GTPase Der,core,1,0,11.511559,9.436522,6.678243,False,False,False,0.4420038453366395,0.4370608696235287,0.3727281133832654,True,False,False
10465,core_targeted,20,7,2081,FEOBHI_10220 F0F1 ATP synthase subunit alpha,core,1,0,11.307644,8.868128,6.278617,False,False,False,0.4092061183764167,0.326942236161311,0.27177814600554834,True,False,False
10465,core_targeted,20,7,2259,FEOBHI_02905 Putative DNA topoisomerase 3,core,1,0,11.511559,9.851023,7.292782,False,False,False,0.4420038453366395,0.5173648202083743,0.5279674922083036,True,False,False
10465,core_targeted,20,7,2325,FEOBHI_07535 DNA-directed RNA polymerase subunit beta,core,1,0,11.511559,10.174026,7.185733,False,False,False,0.4420038453366395,0.5799422734612177,0.5009257255118995,True,False,False
10465,core_targeted,20,7,2355,FEOBHI_12980 50S ribosomal protein L7/L12,core,0,1,9.061885,6.634285,4.318948,True,True,True,3.065902469186573,2.840271950976404,2.641106399889458,True,False,True
10465,core_targeted,20,7,2428,FEOBHI_03605 tRNA 5-hydroxyU34 O-methylase TrmR/YrrM,core,1,0,11.511559,9.752011,7.213466,False,False,False,0.4420038453366395,0.4981825872214653,0.50793138942087,True,False,False
10465,core_targeted,20,7,3377,MDBBCG_09235 cysteine--tRNA ligase,core,0,1,-7.939879,-5.527026,-3.359317,False,False,False,0.1920771413617248,0.4067256217369707,0.6101887142612694,True,False,False
10465,core_targeted,20,42,132,FEOBHI_10235 F0F1 ATP synthase subunit C,core,1,0,9.747921,7.433642,4.867451,False,False,False,0.1583399776433684,0.04903001674892623,-0.08469806341161475,True,False,False
10465,core_targeted,20,42,141,FEOBHI_05750 DNA-directed RNA polymerase subunit omega,core,1,0,11.197439,8.899089,6.688508,False,False,False,0.39148072544479634,0.33294051026452753,0.3753211664256906,True,False,False
10465,core_targeted,20,42,149,"FEOBHI_09375 Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis)",core,1,0,7.985919,5.687644,3.80359,False,False,False,-0.12506075550214044,-0.2892334304158316,-0.35344117132858033,True,False,False
