gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
1137	FEOBHI_08695 Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD	other	1695	315	87039	3.4515962743759148	314	30	1	87009	0.9968253968253968	0.9996553269224141	0.00034467307758590974	910694.2	5.95937257066389
5334	PCLKBG_04085 Membrane lipoprotein	other	1653	303	87051	5.258468666076662	302	29	1	87022	0.9966996699669967	0.9996668619544864	0.00033313804551354955	906229.1034482758	5.95723800538679
1491	FEOBHI_11125 pApA hydrolase Pde2	other	1629	282	87072	3.796525440216065	279	9	3	87063	0.9893617021276596	0.9998966372657111	0.00010336273428886439	899651.0	5.954074067029008
749	FEOBHI_10230 F0F1 ATP synthase subunit B	core	1635	309	87045	3.8037775373458866	307	15	2	87030	0.9935275080906149	0.9998276753403412	0.00017232465965879716	890607.0	5.94968610427985
2557	FEOBHI_00860 Flavodoxin/ferredoxin--NADP reductase	other	1647	306	87048	4.745621194839477	304	15	2	87033	0.9934640522875817	0.9998276812792942	0.00017231872070581748	881934.4	5.945436282662945
1787	FEOBHI_11880 hydroxymethylglutaryl-CoA synthase	other	1662	276	87078	3.3608549952507016	273	9	3	87069	0.9891304347826086	0.9998966443877902	0.00010335561220974299	880364.3333333334	5.944662439435273
4782	JIOBMH_12480 hypothetical protein	other	1611	306	87048	4.428920269012451	301	6	5	87042	0.9836601307189542	0.9999310725117176	6.892748828232699e-05	873321.4	5.941174102306695
3883	GFNPHG_12145 superantigen-like protein SSL4	other	1656	336	87018	3.248634195327759	334	17	2	87001	0.9940476190476191	0.9998046381208485	0.00019536187915143992	854656.8823529412	5.931791794249835
969	FEOBHI_05685 ribulose-phosphate 3-epimerase	other	1659	294	87060	3.4569478321075446	293	30	1	87030	0.9965986394557823	0.9996554100620262	0.00034458993797381116	849993.0	5.929415349156773
1579	FEOBHI_04070 TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	other	1731	354	87000	3.7484064102172856	351	12	3	86988	0.9915254237288136	0.9998620689655172	0.00013793103448275863	848133.0	5.928463961498396
4985	OJEMIL_00800 polymorphic toxin type 50 domain-containing protein	other	1602	294	87060	4.721744861602783	292	15	2	87045	0.9931972789115646	0.9998277050310131	0.00017229496898690558	847238.0	5.928005426348967
550	FEOBHI_07560 50S ribosomal protein L11	core	1653	309	87045	3.5677629756927494	307	16	2	87029	0.9935275080906149	0.9998161870296973	0.000183812970302717	834934.46875	5.921652390481089
2592	FEOBHI_11610 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	other	1698	348	87006	3.508906738758087	344	9	4	86997	0.9885057471264368	0.9998965588580098	0.00010344114199020757	831304.6666666666	5.919760218492865
4452	JICCIG_08180 Transporter	other	1524	288	87066	5.090105137825012	286	15	2	87051	0.9930555555555556	0.9998277169044173	0.00017228309558266143	829886.2	5.919018542857416
3293	MDBBCG_07455 Phage protein	phage	1626	321	87033	5.216807126998901	320	34	1	86999	0.9968847352024922	0.9996093435823193	0.00039065641768064985	818814.1176470588	5.913185321976983
598	FEOBHI_02825 Molybdopterin synthase catalytic subunit	other	1731	300	87054	4.478146028518678	299	32	1	87022	0.9966666666666667	0.9996324120660739	0.00036758793392606886	813111.8125	5.910150270333118
633	FEOBHI_11195 GAF domain-containing protein, putative methionine-R-sulfoxide reductase	other	1668	336	87018	4.504554166793823	335	36	1	86982	0.9970238095238095	0.9995862924912087	0.0004137075087912846	809415.8333333334	5.908171695560911
305	FEOBHI_08225 Fe-S protein maturation auxiliary factor SufT	iron_fes	1698	336	87018	3.639426703453064	332	9	4	87009	0.9880952380952381	0.9998965731228022	0.00010342687719782114	802416.3333333334	5.904399760247086
