gene_idx	gene_name	category	n_train_flipped	cutoff_99th
87	FEOBHI_01790 S-methyl-5-thioribose-1-phosphate isomerase	other	1683	5.086202106475831
88	FEOBHI_02590 Phosphoglycolate phosphatase	other	1653	6.494181442260743
89	FEOBHI_04255 Helix-turn-helix domain-containing protein	other	1596	9.470720338821403
90	FEOBHI_05180 LSM domain protein	other	1575	8.067464733123778
91	FEOBHI_06240 YlaF family protein	other	1611	5.491517066955567
92	FEOBHI_09815 peptide resistance ABC transporter activity modulator VraH	other	1764	6.2131783008575425
93	FEOBHI_11830 cell wall inhibition responsive protein CwrA	other	1650	6.327312583923339
94	FEOBHI_05190 DUF2283 domain-containing protein	other	1608	7.317119374275209
95	FEOBHI_05825 Transposase	other	1713	6.49413761138916
96	FEOBHI_08525 UPF0337 protein SAOUHSC_00845	other	1689	5.118305091857907
97	FEOBHI_10945 DUF4134 domain-containing protein	other	1572	5.293721132278442
98	FEOBHI_12435 Group-specific protein	other	1815	8.008624277114862
99	FEOBHI_05170 Phage protein	phage	1767	8.89278551101682
100	FEOBHI_03330 50S ribosomal protein L35	core	1686	5.274614930152894
101	FEOBHI_04330 Phage protein	phage	1554	8.43045964241028
102	FEOBHI_04375 DUF1514 domain-containing protein	other	1770	7.592395029067993
103	FEOBHI_04655 DUF378 domain-containing protein	other	1593	9.372648086547846
104	FEOBHI_08935 Beta-hemolysin	other	1650	6.8720529270172115
105	FEOBHI_09075 Phi PVL ORF 60-like protein	phage	1653	8.603607025146486
106	FEOBHI_09835 Cold shock protein, CspA family	other	1824	3.289101526737212
107	FEOBHI_10530 Secreted protein	other	1689	6.604297981262206
108	FEOBHI_11425 Cold shock protein, CspA family	other	1602	5.258000493049622
109	FEOBHI_13065 cold shock protein CspA	other	1602	6.181180920600892
110	FEOBHI_00220 DUF951 domain-containing protein	other	1704	6.4225988912582395
111	FEOBHI_00285 DNA-binding transcriptional regulator, XRE-family HTH domain	other	1518	6.944146699905395
112	FEOBHI_01175 DUF2171 domain-containing protein	other	1632	5.8726708650589
113	FEOBHI_04355 Phage protein	phage	1587	8.574164009094197
114	FEOBHI_07025 DUF1659 domain-containing protein	other	1662	6.071870446205132
115	FEOBHI_10435 DNA-invertase hin	other	1665	6.765713443756102
116	FEOBHI_11455 YozE-SAM-like domain-containing protein	other	1701	5.195959568023682
117	FEOBHI_11950 Membrane protein	other	1692	6.1851904630661
