variation	gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
1	1353	FEOBHI_11725 UPF0354 protein SAOUHSC_01859	other	603	123	28995	4.597506961822514	122	15	1	28980	0.991869918699187	0.999482669425763	0.0005173305742369374	235704.0	5.372366952754223
1	2370	FEOBHI_12205 YlbF/YmcA family competence regulator	other	562	123	28995	5.77811740398407	122	15	1	28980	0.991869918699187	0.999482669425763	0.0005173305742369374	235704.0	5.372366952754223
1	4738	JAMKPL_08140 LlsX family protein	other	595	123	28995	6.296819210052484	122	15	1	28980	0.991869918699187	0.999482669425763	0.0005173305742369374	235704.0	5.372366952754223
1	4234	OANBGH_01845 Protein ADP-ribosyltransferase	other	578	99	29019	6.984201269149782	97	6	2	29013	0.9797979797979798	0.9997932389124367	0.00020676108756332058	234521.75	5.37018312622787
1	969	FEOBHI_05685 ribulose-phosphate 3-epimerase	other	553	98	29020	4.457019424438486	97	12	1	29008	0.9897959183673469	0.9995864920744314	0.0004135079255685734	234481.33333333334	5.370108274970053
1	4382	IPGIMP_12545 Transcriptional activator RinB	other	563	114	29004	4.880901355743408	113	14	1	28990	0.9912280701754386	0.9995173079575231	0.0004826920424768997	233990.7142857143	5.369198623160179
1	5286	PCLKBG_02200 Transcriptional regulator	other	546	97	29021	6.648129010200476	96	12	1	29009	0.9896907216494846	0.9995865063230075	0.00041349367699252266	232072.0	5.365622745027033
1	2157	FEOBHI_06335 Ribonuclease J 1	other	582	121	28997	5.168407301902765	120	15	1	28982	0.9917355371900827	0.9994827051074249	0.000517294892575094	231856.0	5.36521833910685
1	4487	JICCIG_05410 Putative haloacid dehydrogenase-like hydrolase	other	602	122	28996	6.378893013000489	119	5	3	28991	0.9754098360655737	0.9998275624224031	0.00017243757759690992	229995.26666666666	5.36171889827107
1	2361	FEOBHI_08350 Na+/H+ antiporter Mnh1 subunit F	other	533	97	29021	3.239153127670286	95	6	2	29015	0.979381443298969	0.9997932531615037	0.00020674683849626133	229702.08333333334	5.361164934141772
1	4591	JICCIG_09980 putative arabinose efflux permease AraJ, MFS family	resistance	582	96	29022	6.7130953645706155	95	12	1	29010	0.9895833333333334	0.9995865205706016	0.0004134794293983874	229662.5	5.361090088043887
