category	n_genes	mean_log10_dor	median_log10_dor	mean_sensitivity	mean_specificity
core	272	4.420301656313787	4.825292739299106	0.9910967970558199	0.9187074581307302
iron_fes	39	3.9933704406750876	3.9902724055987764	0.9910466748953703	0.9045162403055949
other	4531	3.3951168976842774	3.1966037043300464	0.9904504485988523	0.8076474890394537
phage	517	2.579571385684223	2.170979880020665	0.9903406663746814	0.59281654162427
resistance	239	3.530613873153876	3.4414290212041454	0.9900171956684546	0.8379546420072361
